Fecha del sismo,Hora del sismo,Latitud,Longitud,Profundidad(Km),Magnitud,Lugar del Epicentro,ID_País
2023-06-07,16:50:00,29.9,130.1,10km,2.2,Mares cercanos de Islas Tokara,JP
2023-06-07,07:46:00,29.9,129.9,10km,2.0,Mares cercanos de Islas Tokara,JP
2023-06-06,21:17:00,30.0,130.0,10km,2.5,Mares cercanos de Islas Tokara,JP
2023-06-06,18:17:00,36.1,137.3,10km,3.0,"Región Hida, Prefectura de Gifu",JP
2023-06-06,10:26:00,39.6,140.6,20km,2.7,Interior sur de Prefectura de Akita,JP
2023-06-06,07:18:00,30.0,130.0,10km,2.5,Mares cercanos de Islas Tokara,JP
2023-06-06,06:25:00,36.8,140.6,10km,3.8,Norte de Prefectura de Ibaraki,JP
2023-06-06,06:05:00,38.9,141.9,50km,3.9,Alta mar de Prefectura de Miyagi,JP
2023-06-06,05:46:00,35.9,141.0,30km,3.6,Alta mar de Prefectura de Ibaraki,JP
2023-06-06,04:52:00,30.0,130.0,20km,2.7,Mares cercanos de Islas Tokara,JP
2023-06-05,21:46:00,36.5,141.2,40km,3.6,Alta mar de Prefectura de Ibaraki,JP
2023-06-05,13:01:00,37.6,137.3,10km,3.3,Alta mar de Península de Noto,JP
2023-06-05,11:35:00,38.5,142.1,40km,4.5,Alta mar de Prefectura de Miyagi,JP
2023-06-05,10:28:00,34.9,132.8,10km,2.9,Norte de Prefectura de Hiroshima,JP
2023-06-04,22:59:00,37.2,142.2,20km,4.4,Alta mar de Prefectura de Fukushima,JP
2023-06-04,20:45:00,29.7,129.8,10km,2.1,Mares cercanos de Islas Tokara,JP
2023-06-04,20:35:00,29.7,129.9,10km,2.5,Mares cercanos de Islas Tokara,JP
2023-06-04,19:42:00,29.9,130.0,10km,3.2,Mares cercanos de Islas Tokara,JP
2023-06-04,15:50:00,35.6,140.2,60km,4.0,Noroeste de Prefectura de Chiba,JP
2023-06-04,14:37:00,39.6,140.6,10km,2.7,Interior sur de Prefectura de Akita,JP
2023-06-04,10:58:00,35.8,140.1,70km,4.6,Noroeste de Prefectura de Chiba,JP
2023-06-04,06:12:00,37.5,137.4,Poco profundo,3.0,Alta mar de Península de Noto,JP
2023-06-04,04:45:00,29.9,130.0,10km,2.2,Mares cercanos de Islas Tokara,JP
2023-06-04,03:57:00,42.9,145.5,30km,3.5,Alta mar de Kushiro,JP
2023-06-04,02:19:00,29.9,130.0,10km,2.4,Mares cercanos de Islas Tokara,JP
2023-06-04,01:17:00,29.9,130.0,10km,2.8,Mares cercanos de Islas Tokara,JP
2023-06-03,19:35:00,42.0,142.6,60km,5.1,Alta mar de Uraga,JP
2023-06-03,14:59:00,37.3,138.9,20km,2.6,"Región Chuetsu, Prefectura de Niigata",JP
2023-06-03,14:13:00,37.5,137.2,10km,2.5,"Región Noto, Prefectura de Ishikawa",JP
2023-06-03,01:51:00,34.0,135.2,10km,2.3,Norte de Prefectura de Wakayama,JP
2023-06-02,17:06:00,36.0,137.4,10km,2.7,"Región Hida, Prefectura de Gifu",JP
2023-06-02,16:45:00,41.6,140.6,10km,3.4,Estrecho de Tsugaru,JP
2023-06-02,13:04:00,36.7,140.9,50km,3.1,Alta mar de Prefectura de Ibaraki,JP
2023-06-02,06:36:00,29.9,130.0,10km,2.1,Mares cercanos de Islas Tokara,JP
2023-06-02,02:57:00,36.0,137.4,Poco profundo,2.5,"Región Hida, Prefectura de Gifu",JP
2023-06-02,02:55:00,36.1,137.4,10km,2.8,"Región Hida, Prefectura de Gifu",JP
2023-06-01,22:14:00,30.0,130.0,10km,2.4,Mares cercanos de Islas Tokara,JP
2023-06-01,20:47:00,29.9,130.0,10km,2.4,Mares cercanos de Islas Tokara,JP
2023-06-01,20:27:00,29.9,130.0,10km,3.1,Mares cercanos de Islas Tokara,JP
2023-06-01,20:11:00,30.0,129.9,10km,3.6,Mares cercanos de Islas Tokara,JP
2023-06-01,19:34:00,29.9,130.0,10km,2.1,Mares cercanos de Islas Tokara,JP
2023-06-01,17:49:00,30.0,130.0,10km,2.2,Mares cercanos de Islas Tokara,JP
2023-06-01,16:40:00,28.3,129.6,30km,3.5,Mares cercanos de Islas de Amamioshima,JP
2023-06-01,15:00:00,29.9,130.1,10km,2.4,Mares cercanos de Islas Tokara,JP
2023-06-01,12:04:00,36.2,141.2,30km,3.6,Alta mar de Prefectura de Ibaraki,JP
2023-06-01,11:58:00,29.9,130.0,10km,2.2,Mares cercanos de Islas Tokara,JP
2023-06-01,11:42:00,29.9,130.0,Poco profundo,2.1,Mares cercanos de Islas Tokara,JP
2023-06-01,11:32:00,29.9,130.0,Poco profundo,2.4,Mares cercanos de Islas Tokara,JP
2023-06-01,11:28:00,29.9,130.0,10km,4.4,Mares cercanos de Islas Tokara,JP
2023-06-01,10:29:00,29.9,130.0,10km,2.4,Mares cercanos de Islas Tokara,JP
2023-06-01,00:03:00,38.7,142.3,40km,4.4,Alta mar de Prefectura de Miyagi,JP
2023-06-01,00:03:00,37.5,137.4,10km,4.2,Alta mar de Península de Noto,JP
2023-05-31,23:41:00,35.7,140.8,50km,3.4,Alta mar este de Prefectura de Chiba,JP
2023-05-31,21:15:00,33.9,135.2,10km,2.6,Norte de Prefectura de Wakayama,JP
2023-05-31,20:12:00,34.2,133.5,10km,3.3,Centro de Mar interior de Seto,JP
2023-05-31,15:20:00,33.8,135.0,10km,3.1,Canal de Kii,JP
2023-05-31,10:04:00,38.9,142.0,50km,3.7,Alta mar de Prefectura de Miyagi,JP
2023-05-31,07:49:00,33.4,139.3,10km,4.3,Mares cercanos de Isla de Hachijyo,JP
2023-05-31,04:06:00,36.0,137.4,10km,2.8,"Región Hida, Prefectura de Gifu",JP
2023-05-31,03:41:00,37.5,137.3,10km,2.5,"Región Noto, Prefectura de Ishikawa",JP
