Hora y dia del Sismo,Latitud,Longitud,Magnitud,Profundidad del Hipocentro,Lugar del Epicentro
2023/06/10 03:30,34.5,139.2,3.7,10km,"Mares cercanas de Isla Niijima, Kozujima"
2023/06/09 22:48,37.5,137.2,3.3,10km,"Región Noto, Prefectura de Ishikawa"
2023/06/09 20:45,37.5,137.4,3.8,10km,Alta mar de Península de Noto
2023/06/09 08:35,28.7,129.4,3.7,70km,Mares cercanos de Islas de Amamioshima
2023/06/09 06:21,31.2,130.3,4.6,190km,Alta mar oeste de Península de Satsuma
2023/06/09 05:11,37.5,137.3,2.5,10km,"Región Noto, Prefectura de Ishikawa"
2023/06/09 01:43,34.0,135.5,3.0,50km,Norte de Prefectura de Wakayama
2023/06/08 21:49,37.6,137.3,3.2,10km,Alta mar de Península de Noto
2023/06/08 21:37,35.6,140.7,3.0,40km,Alta mar este de Prefectura de Chiba
2023/06/08 19:34,37.7,141.7,4.1,70km,Alta mar de Prefectura de Fukushima
2023/06/08 18:02,32.5,130.6,2.1,10km,"Región Kumamoto, Prefectura de Kumamoto"
2023/06/08 04:54,36.5,140.5,3.6,60km,Norte de Prefectura de Ibaraki
2023/06/07 18:43,29.9,130.0,2.5,10km,Mares cercanos de Islas Tokara
2023/06/07 16:50,29.9,130.1,2.2,10km,Mares cercanos de Islas Tokara
2023/06/07 07:46,29.9,129.9,2.0,10km,Mares cercanos de Islas Tokara
2023/06/06 21:17,30.0,130.0,2.5,10km,Mares cercanos de Islas Tokara
2023/06/06 18:17,36.1,137.3,3.0,10km,"Región Hida, Prefectura de Gifu"
2023/06/06 10:26,39.6,140.6,2.7,20km,Interior sur de Prefectura de Akita
2023/06/06 07:18,30.0,130.0,2.5,10km,Mares cercanos de Islas Tokara
2023/06/06 06:25,36.8,140.6,3.8,10km,Norte de Prefectura de Ibaraki
2023/06/06 06:05,38.9,141.9,3.9,50km,Alta mar de Prefectura de Miyagi
2023/06/06 05:46,35.9,141.0,3.6,30km,Alta mar de Prefectura de Ibaraki
2023/06/06 04:52,30.0,130.0,2.7,20km,Mares cercanos de Islas Tokara
2023/06/05 21:46,36.5,141.2,3.6,40km,Alta mar de Prefectura de Ibaraki
2023/06/05 13:01,37.6,137.3,3.3,10km,Alta mar de Península de Noto
2023/06/05 11:35,38.5,142.1,4.5,40km,Alta mar de Prefectura de Miyagi
2023/06/05 10:28,34.9,132.8,2.9,10km,Norte de Prefectura de Hiroshima
2023/06/04 22:59,37.2,142.2,4.4,20km,Alta mar de Prefectura de Fukushima
2023/06/04 20:45,29.7,129.8,2.1,10km,Mares cercanos de Islas Tokara
2023/06/04 20:35,29.7,129.9,2.5,10km,Mares cercanos de Islas Tokara
2023/06/04 19:42,29.9,130.0,3.2,10km,Mares cercanos de Islas Tokara
2023/06/04 15:50,35.6,140.2,4.0,60km,Noroeste de Prefectura de Chiba
2023/06/04 14:37,39.6,140.6,2.7,10km,Interior sur de Prefectura de Akita
2023/06/04 10:58,35.8,140.1,4.6,70km,Noroeste de Prefectura de Chiba
2023/06/04 06:12,37.5,137.4,3.0,Poco profundo,Alta mar de Península de Noto
2023/06/04 04:45,29.9,130.0,2.2,10km,Mares cercanos de Islas Tokara
2023/06/04 03:57,42.9,145.5,3.5,30km,Alta mar de Kushiro
2023/06/04 02:19,29.9,130.0,2.4,10km,Mares cercanos de Islas Tokara
2023/06/04 01:17,29.9,130.0,2.8,10km,Mares cercanos de Islas Tokara
2023/06/03 19:35,42.0,142.6,5.1,60km,Alta mar de Uraga
2023/06/03 14:59,37.3,138.9,2.6,20km,"Región Chuetsu, Prefectura de Niigata"
2023/06/03 14:13,37.5,137.2,2.5,10km,"Región Noto, Prefectura de Ishikawa"
2023/06/03 01:51,34.0,135.2,2.3,10km,Norte de Prefectura de Wakayama
2023/06/02 17:06,36.0,137.4,2.7,10km,"Región Hida, Prefectura de Gifu"
2023/06/02 16:45,41.6,140.6,3.4,10km,Estrecho de Tsugaru
2023/06/02 13:04,36.7,140.9,3.1,50km,Alta mar de Prefectura de Ibaraki
2023/06/02 06:36,29.9,130.0,2.1,10km,Mares cercanos de Islas Tokara
2023/06/02 02:57,36.0,137.4,2.5,Poco profundo,"Región Hida, Prefectura de Gifu"
2023/06/02 02:55,36.1,137.4,2.8,10km,"Región Hida, Prefectura de Gifu"
2023/06/01 22:14,30.0,130.0,2.4,10km,Mares cercanos de Islas Tokara
2023/06/01 20:47,29.9,130.0,2.4,10km,Mares cercanos de Islas Tokara
2023/06/01 20:27,29.9,130.0,3.1,10km,Mares cercanos de Islas Tokara
2023/06/01 20:11,30.0,129.9,3.6,10km,Mares cercanos de Islas Tokara
2023/06/01 19:34,29.9,130.0,2.1,10km,Mares cercanos de Islas Tokara
2023/06/01 17:49,30.0,130.0,2.2,10km,Mares cercanos de Islas Tokara
2023/06/01 16:40,28.3,129.6,3.5,30km,Mares cercanos de Islas de Amamioshima
2023/06/01 15:00,29.9,130.1,2.4,10km,Mares cercanos de Islas Tokara
2023/06/01 12:04,36.2,141.2,3.6,30km,Alta mar de Prefectura de Ibaraki
2023/06/01 11:58,29.9,130.0,2.2,10km,Mares cercanos de Islas Tokara
2023/06/01 11:42,29.9,130.0,2.1,Poco profundo,Mares cercanos de Islas Tokara
2023/06/01 11:32,29.9,130.0,2.4,Poco profundo,Mares cercanos de Islas Tokara
2023/06/01 11:28,29.9,130.0,4.4,10km,Mares cercanos de Islas Tokara
2023/06/01 10:29,29.9,130.0,2.4,10km,Mares cercanos de Islas Tokara
2023/06/01 00:03,38.7,142.3,4.4,40km,Alta mar de Prefectura de Miyagi
2023/06/01 00:03,37.5,137.4,4.2,10km,Alta mar de Península de Noto
2023/05/31 23:41,35.7,140.8,3.4,50km,Alta mar este de Prefectura de Chiba
2023/05/31 21:15,33.9,135.2,2.6,10km,Norte de Prefectura de Wakayama
2023/05/31 20:12,34.2,133.5,3.3,10km,Centro de Mar interior de Seto
2023/05/31 15:20,33.8,135.0,3.1,10km,Canal de Kii
2023/05/31 10:04,38.9,142.0,3.7,50km,Alta mar de Prefectura de Miyagi
2023/05/31 07:49,33.4,139.3,4.3,10km,Mares cercanos de Isla de Hachijyo
2023/05/31 04:06,36.0,137.4,2.8,10km,"Región Hida, Prefectura de Gifu"
2023/05/31 03:41,37.5,137.3,2.5,10km,"Región Noto, Prefectura de Ishikawa"
