Latitud,Longitud,Magnitud,Profundidad,Lugar,Fecha del sismo,Hora del sismo,ID_Pais
30.0,130.0,2.2,10km,Mares cercanos de Islas Tokara,2023-06-01,17:49:00,JP
28.3,129.6,3.5,30km,Mares cercanos de Islas de Amamioshima,2023-06-01,16:40:00,JP
29.9,130.1,2.4,10km,Mares cercanos de Islas Tokara,2023-06-01,15:00:00,JP
36.2,141.2,3.6,30km,Alta mar de Prefectura de Ibaraki,2023-06-01,12:04:00,JP
29.9,130.0,2.2,10km,Mares cercanos de Islas Tokara,2023-06-01,11:58:00,JP
29.9,130.0,2.1,Poco profundo,Mares cercanos de Islas Tokara,2023-06-01,11:42:00,JP
29.9,130.0,2.4,Poco profundo,Mares cercanos de Islas Tokara,2023-06-01,11:32:00,JP
29.9,130.0,4.4,10km,Mares cercanos de Islas Tokara,2023-06-01,11:28:00,JP
29.9,130.0,2.4,10km,Mares cercanos de Islas Tokara,2023-06-01,10:29:00,JP
38.7,142.3,4.4,40km,Alta mar de Prefectura de Miyagi,2023-06-01,00:03:00,JP
37.5,137.4,4.2,10km,Alta mar de Península de Noto,2023-06-01,00:03:00,JP
35.7,140.8,3.4,50km,Alta mar este de Prefectura de Chiba,2023-05-31,23:41:00,JP
33.9,135.2,2.6,10km,Norte de Prefectura de Wakayama,2023-05-31,21:15:00,JP
34.2,133.5,3.3,10km,Centro de Mar interior de Seto,2023-05-31,20:12:00,JP
33.8,135.0,3.1,10km,Canal de Kii,2023-05-31,15:20:00,JP
38.9,142.0,3.7,50km,Alta mar de Prefectura de Miyagi,2023-05-31,10:04:00,JP
33.4,139.3,4.3,10km,Mares cercanos de Isla de Hachijyo,2023-05-31,07:49:00,JP
36.0,137.4,2.8,10km,"Región Hida, Prefectura de Gifu",2023-05-31,04:06:00,JP
37.5,137.3,2.5,10km,"Región Noto, Prefectura de Ishikawa",2023-05-31,03:41:00,JP
