"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""Year >= 1995"",""Country = JAPAN""]"																																						
	2009	12	17	23	45	36.4			"JAPAN:  HONSHU:  ITO"	34.921	139.261	7	4.9						7	1		1									7	1		1			20	1
	2010	2	26	20	31	26.9	4782		"JAPAN:  TORI SHIMA, OKINAWA"	25.93	128.425	25	7						2	1		1									2	1		1				
	2010	12	21	17	19	40.6	5402		"JAPAN:  BONIN ISLANDS"	26.901	143.698	14	7.4																									
	2011	3	9	2	45	20.3	5412		"JAPAN:  HONSHU:  E COAST"	38.435	142.842	32	7.5																									
	2011	3	11	5	46	24.1	5413		"JAPAN:  HONSHU"	38.297	142.372	30	9.1		1475	4			6157	4	4401.709	4	2473	4	5618	4	18428	4			6167	4	220136.6	4	123661	4	280920	4
	2011	3	11	6	15	40.2			"JAPAN:  NEAR E COAST HONSHU"	36.281	141.111	43	7.9																									
	2011	3	11	6	25	50.3			"JAPAN:  OFF EAST COAST HONSHU"	38.058	144.59	19	7.6																									
	2011	4	7	14	32	43.2	5429		"JAPAN: NEAR E COAST HONSHU"	38.276	141.588	42	7.1		3	1			132	3		1					3	1			132	3		1				
	2011	4	11	8	16	12.7			"JAPAN:  HONSHU"	37.001	140.401	11	6.6		7	1						1	3	1			7	1						1	3	1		
	2011	7	10	0	57	10.8	5431		"JAPAN:  HONSHU:  E COAST"	38.034	143.264	23	7																									
	2012	3	14	9	8	35.1	5446		"JAPAN:  HOKKAIDO"	40.887	144.944	12	6.9																									
	2012	12	7	8	18	23.1	5469		"JAPAN:  HONSHU:  MIYAGI PREFECTURE"	37.89	143.949	31	7.2						11	1											11	1						
	2013	4	12	20	33	17.5			"JAPAN"	34.369	134.828	14	5.8						24	1		1				1					24	1		1				1
	2013	4	17	8	57	33.9			"JAPAN: MIYAKEJIMA"	33.958	139.352	9	5.8						3	1		1				2					3	1		1				2
	2013	10	25	17	10	19.7	5533		"JAPAN:  HONSHU:  E COAST"	37.156	144.661	35	7.1	6					1	1											1	1						
	2014	3	13	17	6	50.8			"JAPAN:  SOUTHWESTERN"	33.684	131.825	79	6.3	7					18	1		1									18	1		1				
	2014	7	11	19	22	0.8	5574		"JAPAN:  SANRIKU"	37.005	142.453	20	6.5	5						1		1										1		1				
	2014	11	22	13	8	18.4			"JAPAN:  NAGANO:  HAKUBA, OTARI"	36.641	137.888	9	6.2	9					46	1	2	2	213	3	1624	4					46	1	2	2	213	3	1624	4
	2015	2	16	23	6	27	5580		"JAPAN:  HONSHU"	39.856	142.881	23	6.7	4																								
	2015	5	2	16	51	39	5584	7537	"JAPAN:  HONSHU:  S. OF"	31.529	140.213	10	5.7																									
	2015	5	30	11	23	11			"JAPAN:  BONIN ISLANDS [CHICHIJIMA ISLAND]"	27.839	140.493	664	7.8	6					12	1											12	1						
	2015	11	13	20	51	3	5593		"JAPAN:  KYUSYU ISLAND"	31.001	128.873	12	6.7	4																								
	2016	4	15	16	25	22			"JAPAN:  KUMAMOTO, OITA"	32.791	130.754	10	7	8	50	1			1500	4	20000	4	80000	4		4	50	1			1500	4	20000	4	80000	4		4
	2016	8	20	9	1	26	5741		"JAPAN:  OFF EAST COAST HONSHU"	40.394	143.68	10	6	2																								
	2016	10	21	5	8	39			"JAPAN:  KURAYOSHI"	35.374	133.809	6	6.2	6					7	1	100	4	2	1	160	3					7	1	100	4	2	1	160	3
	2016	11	21	20	59	27	5618		"JAPAN: NEAR E COAST HONSHU"	37.393	141.387	9	6.9	7					15	1		1									15	1		1				
	2018	4	8	16	32	52			"JAPAN:  SHIMANE PREFECTURE"	35.259	132.553	10	5.7						8	1		3			429	3					8	1		3			429	3
	2018	5	6	6	3	33	5796	7541	"JAPAN:  HONSHU:  S. OF"	31.444	140.193	10	5.4																									
	2018	6	17	22	59	17			"JAPAN:  OSAKA"	34.825	135.639	10	5.5		5	1			417	3	7000	4			6766	4	5	1			417	3	7000	4			6766	4
	2018	9	5	18	7	15			"JAPAN:  HOKKAIDO"	42.686	141.929	35	6.6	7	44	1			660	3	2000	4		3	15000	4	44	1			660	3	2000	4		3	15000	4
	2019	6	18	13	22	19	5712		"JAPAN:  NIIGATA PREFECTURE"	38.646	139.472	12	6.4						28	1		2			144	3					28	1		2			144	3
	2021	2	13	14	7	50	5823		"JAPAN:  OFF FUKUSHIMA"	37.745	141.749	49	7.1	9	1	1			186	3	7700	4	798	3	19758	4	1	1			186	3	7700	4	798	3	19758	4
	2021	3	20	9	9	43			"JAPAN:  HONSHU ISLAND"	38.452	141.648	43	7	7					11	1	550	4									11	1	550	4				
	2022	3	16	14	36	33	5832		"JAPAN:  OFF FUKUSHIMA"	37.702	141.587	63	7.3	9	4	1			247	3	8800	4	217	3	56718	4	4	1			247	3	8800	4	217	3	56718	4
	2023	5	5	5	42	4	5880		"JAPAN: HONSHU: ISHIKAWA, TOYAMA"	37.54	137.305	8	6.2	8	1	1			34	1		2	3	1	351	3	1	1			34	1		2	3	1	351	3
